,Sell,buy_q_0.90
0,9,234.0
1,10,280.2
2,11,221.4
3,12,240.8
4,13,235.3
5,14,193.0
6,15,208.4
7,16,195.8
8,17,194.4
9,18,180.9
10,19,201.40000000000003
11,20,181.0
12,21,180.0
13,22,180.0
14,23,159.10000000000002
15,24,167.9
16,25,136.60000000000005
17,26,148.4
18,27,141.40000000000003
19,28,130.79999999999998
20,29,129.9
21,30,124.0
22,31,111.80000000000001
23,32,120.9
24,33,106.19999999999999
25,34,99.40000000000003
26,35,111.4
27,36,95.60000000000002
28,37,94.9
29,38,98.0
30,39,96.0
31,40,80.0
32,41,74.0
33,42,85.0
34,43,83.6
35,44,73.5
36,45,73.80000000000001
37,46,73.9
38,47,74.5
39,48,63.19999999999999
40,49,66.60000000000001
41,50,71.0
42,51,69.0
43,52,60.0
44,53,57.400000000000006
45,54,64.6
46,55,57.20000000000002
47,56,62.400000000000006
48,57,61.7
49,58,54.3
50,59,57.0
51,60,51.0
52,61,50.60000000000001
53,62,50.400000000000006
54,63,47.7
55,64,51.0
56,65,47.10000000000001
57,66,48.60000000000001
58,67,47.0
59,68,49.5
60,69,45.80000000000001
61,70,47.4
62,71,51.0
63,72,41.50000000000004
64,73,42.5
65,74,44.0
66,75,42.0
67,76,41.8
68,77,45.0
69,78,40.0
70,79,40.5
71,80,36.0
72,81,43.0
73,82,37.0
74,83,36.0
75,84,45.8
76,85,39.0
77,86,41.599999999999994
78,87,40.0
79,88,41.599999999999994
80,89,38.0
81,90,36.8
82,91,36.1
83,92,31.0
84,93,33.2
85,94,33.0
86,95,38.0
87,96,32.800000000000004
88,97,37.0
89,98,31.0
90,99,29.6
91,100,35.9
92,101,33.4
93,102,32.0
94,103,29.400000000000002
95,104,34.0
96,105,31.5
97,106,29.799999999999997
98,107,27.0
99,108,33.0
100,109,31.0
101,110,30.7
102,111,27.0
103,112,29.0
104,113,37.5
105,114,31.1
106,115,30.8
107,116,29.0
108,117,39.6
109,118,22.900000000000002
110,119,24.80000000000001
111,120,25.3
112,121,32.3
113,122,26.3
114,123,28.099999999999998
115,124,26.0
116,125,27.4
117,126,28.900000000000002
118,127,27.8
119,128,28.4
120,129,31.200000000000003
121,130,28.200000000000003
122,131,27.400000000000002
123,132,27.0
124,133,30.1
125,134,23.5
126,135,24.6
127,136,24.4
128,137,23.200000000000003
129,138,22.4
130,139,28.5
131,140,26.5
132,141,24.6
133,142,27.6
134,143,28.799999999999997
135,144,23.0
136,145,21.400000000000002
137,146,22.0
138,147,26.4
139,148,31.60000000000001
140,149,26.800000000000004
141,150,24.599999999999998
142,151,28.500000000000007
143,152,20.2
144,153,21.8
145,154,28.6
146,155,24.2
147,156,32.9
148,157,20.0
149,158,25.400000000000002
150,159,17.4
151,160,21.0
152,161,22.0
153,162,27.700000000000003
154,163,19.0
155,164,17.5
156,165,24.0
157,166,21.199999999999996
158,167,18.3
159,168,21.200000000000003
160,169,18.6
161,170,11.5
162,171,24.8
163,172,16.5
164,173,23.400000000000002
165,174,28.4
166,175,19.7
167,176,21.6
168,177,18.9
169,178,19.200000000000003
170,179,21.5
171,180,12.9
172,181,16.8
173,182,19.5
174,183,24.400000000000002
175,184,16.8
176,185,24.6
177,186,27.5
178,187,23.6
179,188,17.0
180,189,20.5
181,190,26.400000000000002
182,191,17.0
183,192,17.200000000000003
184,193,8.6
185,194,16.400000000000002
186,195,16.400000000000002
187,196,22.400000000000002
188,197,17.0
189,198,16.7
190,199,19.1
191,200,18.700000000000003
192,201,23.1
193,202,22.6
194,203,12.8
195,204,19.4
196,205,12.200000000000001
197,206,17.599999999999998
198,207,14.6
199,208,22.6
200,209,18.8
201,210,20.5
202,211,25.4
203,212,21.0
204,213,18.8
205,214,22.0
206,215,12.0
207,216,14.7
208,217,12.8
209,218,25.0
210,219,17.0
211,220,13.0
212,221,12.0
213,223,18.700000000000003
214,224,20.0
215,225,21.0
216,227,12.0
217,229,10.0
218,231,11.0
219,232,12.0
220,233,12.700000000000001
221,234,22.4
222,235,20.8
223,236,20.0
224,237,9.6
225,238,20.0
226,239,7.0
227,241,19.0
228,242,18.0
229,245,13.6
230,246,12.0
231,247,22.0
232,248,14.0
233,249,15.0
234,250,17.1
235,251,10.9
236,261,12.0
237,263,8.0
238,264,18.0
239,265,17.5
240,266,14.0
241,268,16.0
242,269,11.0
243,272,5.0
244,274,11.600000000000001
245,285,7.0
246,288,9.0
247,305,9.0
248,371,11.0
